table_index,column_index,column_name
-1,0,*
0,1,dtstatdate
0,2,vgameappid
0,3,iareaid
0,4,iuserid
0,5,vroleid
0,6,iversion
0,7,cbitmap
0,8,iregdate
0,9,swxid_type
0,10,suserid
0,11,sqq
0,12,swxid
0,13,itemp1
0,14,itemp2
0,15,itemp3
0,16,itemp4
0,17,vtemp1
0,18,vtemp2
0,19,vtemp3
0,20,vtemp4
0,21,vtemp5
1,22,dtstatdate
1,23,vgamesvrid
1,24,vgameappid
1,25,iareaid
1,26,iuserid
1,27,vroleid
1,28,iversion
1,29,cbitmap
1,30,itemp1
1,31,itemp2
1,32,vtemp1
1,33,vtemp2
2,34,dtstatdate
2,35,idate
2,36,seasonid
2,37,seasonidname
2,38,itemp1
2,39,itemp2
2,40,vtemp1
2,41,vtemp2
3,42,vplayerid
4,43,modename
4,44,imode
4,45,startdate
4,46,enddate
4,47,itemp1
4,48,itemp2
4,49,vtemp1
4,50,vtemp2
5,51,dtstatdate
5,52,matchsubmodegroup
5,53,vplayerid
5,54,cbitmap
5,55,dregdate
5,56,itemp1
5,57,itemp2
5,58,vtemp1
5,59,vtemp2
6,60,ds
7,61,vplayerid
7,62,suserid
8,63,matchsubmodegroup
8,64,matchsubmodegroupname
8,65,onlinedate
8,66,itemp1
8,67,itemp2
8,68,vtemp1
8,69,vtemp2
9,70,matchsubmodegroup
9,71,matchsubmodegroupname
9,72,onlinedate
9,73,itemp1
9,74,itemp2
9,75,vtemp1
9,76,vtemp2
10,77,dtstatdate
10,78,saccounttype
10,79,suserid
10,80,suseridtype
10,81,sgamecode
10,82,splattype
10,83,splat
10,84,iregdate
10,85,ilastactdate
10,86,sdayacti
10,87,sweekacti
10,88,smonthacti
10,89,sgroup
10,90,ilevel
10,91,iviplevel
10,92,itimes
10,93,ionlinetime
11,94,dtstatdate
11,95,swxid
11,96,iqq
12,97,dtstatdate
12,98,sappid
12,99,splayerid
12,100,iqq
13,101,dtstatdate
13,102,sappid
13,103,splayerid
13,104,swxid
14,105,kp_imp_date
14,106,id_type
14,107,userid
14,108,gender
14,109,city
14,110,province
14,111,city_level
15,112,dtstatdate
15,113,vgameappid
15,114,vplayerid
15,115,suserid
15,116,suserid_type
15,117,itag
15,118,is_reg
15,119,is_actv
15,120,is_neibu
15,121,is_lowfps
15,122,cbitmap
15,123,gender
15,124,province
15,125,city
15,126,city_level
15,127,iregdate
15,128,iregdate_agamek6
15,129,lastdate
15,130,lastdate_agamek6
15,131,lastdays
15,132,lastdays_agamek6
15,133,lastdays_fps
15,134,lastdays_vie1
15,135,lastdays_vie2
15,136,lastdays_vie3
15,137,lastdays_vie4
15,138,lastdays_vie5
15,139,lastdays_vie6
15,140,lastdays_vie7
15,141,lastdays_vie8
15,142,lastdays_vie9
15,143,lastdays_vie10
15,144,lastdays_vie11
15,145,lastdays_vie12
15,146,lastdays_vie13
15,147,lastdays_vie14
15,148,lastdays_vie15
15,149,vtemp1
15,150,vtemp2
15,151,vtemp3
15,152,itemp1
15,153,itemp2
15,154,itemp3
16,155,tdbank_imp_date
16,156,dteventtime
16,157,apeventid
16,158,apchildid
16,159,apchildindex
16,160,tag
16,161,amount
16,162,allianceforcefectedtargets
16,163,matchinfomatchid
16,164,playerinfosubject
16,165,roundinforoundnumber
16,166,playerinfoteamid
17,167,tdbank_imp_date
17,168,dteventtime
17,169,apeventid
17,170,matchinfobranch
17,171,matchinfochangelist
17,172,matchinfogameid
17,173,matchinfogamemode
17,174,matchinfomap
17,175,matchinfomatchid
17,176,matchinfoversion
17,177,roundinfoattackerscore
17,178,roundinfodefenderscore
17,179,roundinfomatchtime
17,180,roundinforoundnumber
17,181,roundinforoundphase
17,182,roundinforoundtime
17,183,playerinfocharacter
17,184,playerinfoname
17,185,playerinfosubject
17,186,playerinfoteamid
17,187,playerinfoside
17,188,playerinfoteamrole
17,189,pretransactionmoney
17,190,pretransactionmoneyreceiver
17,191,pretransactionmoneysender
17,192,itemcost
17,193,startinvpriweaponid
17,194,startinvpriweaponname
17,195,startinvpriweapontype
17,196,startinvpriweaponavaamt
17,197,startinvsecweaponid
17,198,startinvsecweaponname
17,199,startinvsecweapontype
17,200,startinvsecweaponavaamt
17,201,startinvmeleeid
17,202,startinvmeleename
17,203,startinvmeleetype
17,204,startinvmeleeavaamt
17,205,startinvarmorid
17,206,startinvarmorname
17,207,startinvarmortype
17,208,startinvarmoravaamt
17,209,startinvabilities
17,210,startinvbackpackitems
17,211,startinvpassives
17,212,startinvcurequippedid
17,213,startinvcurequippedname
17,214,startinvcurequippedtype
17,215,startinvcurequippedavaamt
17,216,endinvpriweaponid
17,217,endinvpriweaponname
17,218,endinvpriweapontype
17,219,endinvpriweaponavaamt
17,220,endinvsecweaponid
17,221,endinvsecweaponname
17,222,endinvsecweapontype
17,223,endinvsecweaponavaamt
17,224,endinvmeleeid
17,225,endinvmeleename
17,226,endinvmeleetype
17,227,endinvmeleeavaamt
17,228,endinvarmorid
17,229,endinvarmorname
17,230,endinvarmortype
17,231,endinvarmoravaamt
17,232,endinvabilities
17,233,endinvbackpackitems
17,234,endinvpassives
17,235,endinvcurequippedid
17,236,endinvcurequippedname
17,237,endinvcurequippedtype
17,238,endinvcurequippedavaamt
17,239,itemname
17,240,itemid
17,241,receiverid
17,242,senderid
17,243,transactiontype
17,244,aplogtotal
17,245,clientplatformdetailsplatformtype
17,246,clientplatformdetailsplatformmetadata
17,247,platformtype
17,248,apschemaversion
18,249,tdbank_imp_date
18,250,dteventtime
18,251,gplayerid
18,252,playerid
18,253,source
