table_index,table_name,column_index,column_name
-1,Unknown,0,*
0,dim_argothek_gplayerid2qqwxid_df,1,dtstatdate
0,dim_argothek_gplayerid2qqwxid_df,2,vgameappid
0,dim_argothek_gplayerid2qqwxid_df,3,iareaid
0,dim_argothek_gplayerid2qqwxid_df,4,iuserid
0,dim_argothek_gplayerid2qqwxid_df,5,vroleid
0,dim_argothek_gplayerid2qqwxid_df,6,iversion
0,dim_argothek_gplayerid2qqwxid_df,7,cbitmap
0,dim_argothek_gplayerid2qqwxid_df,8,iregdate
0,dim_argothek_gplayerid2qqwxid_df,9,swxid_type
0,dim_argothek_gplayerid2qqwxid_df,10,suserid
0,dim_argothek_gplayerid2qqwxid_df,11,sqq
0,dim_argothek_gplayerid2qqwxid_df,12,swxid
0,dim_argothek_gplayerid2qqwxid_df,13,itemp1
0,dim_argothek_gplayerid2qqwxid_df,14,itemp2
0,dim_argothek_gplayerid2qqwxid_df,15,itemp3
0,dim_argothek_gplayerid2qqwxid_df,16,itemp4
0,dim_argothek_gplayerid2qqwxid_df,17,vtemp1
0,dim_argothek_gplayerid2qqwxid_df,18,vtemp2
0,dim_argothek_gplayerid2qqwxid_df,19,vtemp3
0,dim_argothek_gplayerid2qqwxid_df,20,vtemp4
0,dim_argothek_gplayerid2qqwxid_df,21,vtemp5
1,dim_argothek_gplayerid_vroleid_df,22,dtstatdate
1,dim_argothek_gplayerid_vroleid_df,23,vgamesvrid
1,dim_argothek_gplayerid_vroleid_df,24,vgameappid
1,dim_argothek_gplayerid_vroleid_df,25,iareaid
1,dim_argothek_gplayerid_vroleid_df,26,iuserid
1,dim_argothek_gplayerid_vroleid_df,27,vroleid
1,dim_argothek_gplayerid_vroleid_df,28,iversion
1,dim_argothek_gplayerid_vroleid_df,29,cbitmap
1,dim_argothek_gplayerid_vroleid_df,30,itemp1
1,dim_argothek_gplayerid_vroleid_df,31,itemp2
1,dim_argothek_gplayerid_vroleid_df,32,vtemp1
1,dim_argothek_gplayerid_vroleid_df,33,vtemp2
2,dim_argothek_seasondate_df,34,dtstatdate
2,dim_argothek_seasondate_df,35,idate
2,dim_argothek_seasondate_df,36,seasonid
2,dim_argothek_seasondate_df,37,seasonidname
2,dim_argothek_seasondate_df,38,itemp1
2,dim_argothek_seasondate_df,39,itemp2
2,dim_argothek_seasondate_df,40,vtemp1
2,dim_argothek_seasondate_df,41,vtemp2
3,dim_extract_311381_conf,42,vplayerid
4,dim_jordass_imode_leyuan_nf,43,modename
4,dim_jordass_imode_leyuan_nf,44,imode
4,dim_jordass_imode_leyuan_nf,45,startdate
